# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
501             	DILUPBiCGStab	7.84884580e-04	1.01456670e-05	1	5.98775180e-03	2.44872260e-05	1	false	DILUPBiCGStab	7.21275900e-04	1.24329350e-05	1	true	GAMG	2.17116960e-02	1.68817680e-04	6	true	DILUPBiCGStab	2.42995290e-05	3.01408580e-07	1	true
502             	DILUPBiCGStab	7.81309130e-04	1.01006020e-05	1	5.93941400e-03	2.40385250e-05	1	false	DILUPBiCGStab	7.17430230e-04	1.23630740e-05	1	true	GAMG	1.62966110e-02	1.42651070e-04	27	true	DILUPBiCGStab	2.42251320e-05	3.00438390e-07	1	true
503             	DILUPBiCGStab	7.78178600e-04	1.00600000e-05	1	5.91696780e-03	2.38610480e-05	1	false	DILUPBiCGStab	7.13625720e-04	1.22942130e-05	1	true	GAMG	1.12638360e-02	1.10792390e-04	31	true	DILUPBiCGStab	2.41386130e-05	2.99341140e-07	1	true
504             	DILUPBiCGStab	7.74762780e-04	1.00162930e-05	1	5.90953850e-03	2.38123330e-05	1	false	DILUPBiCGStab	7.09864460e-04	1.22263220e-05	1	true	GAMG	8.00574510e-03	7.48922720e-05	38	true	DILUPBiCGStab	2.40541850e-05	2.98283680e-07	1	true
505             	DILUPBiCGStab	7.70877320e-04	9.96760740e-06	1	5.89888860e-03	2.37398360e-05	1	false	DILUPBiCGStab	7.06139240e-04	1.21595110e-05	1	true	GAMG	6.51437300e-03	5.92156310e-05	49	true	DILUPBiCGStab	2.39799900e-05	2.97300230e-07	1	true
506             	DILUPBiCGStab	7.66961430e-04	9.91878180e-06	1	5.88434320e-03	2.36407930e-05	1	false	DILUPBiCGStab	7.02432700e-04	1.20940480e-05	1	true	GAMG	5.67401770e-03	5.64048950e-05	50	true	DILUPBiCGStab	2.39013910e-05	2.96252600e-07	1	true
507             	DILUPBiCGStab	7.63565010e-04	9.87626290e-06	1	5.86850190e-03	2.35247150e-05	1	false	DILUPBiCGStab	6.98776850e-04	1.20296930e-05	1	true	GAMG	5.14032910e-03	5.05692360e-05	37	true	DILUPBiCGStab	2.38156970e-05	2.95141730e-07	1	true
508             	DILUPBiCGStab	7.60467530e-04	9.83662390e-06	1	5.85279480e-03	2.34137180e-05	1	false	DILUPBiCGStab	6.95128370e-04	1.19662530e-05	1	true	GAMG	4.82363410e-03	4.81343410e-05	68	true	DILUPBiCGStab	2.37306020e-05	2.94040970e-07	1	true
509             	DILUPBiCGStab	7.57249950e-04	9.79533280e-06	1	5.84042410e-03	2.33243440e-05	1	false	DILUPBiCGStab	6.91502960e-04	1.19037530e-05	1	true	GAMG	4.61970200e-03	4.37503390e-05	39	true	DILUPBiCGStab	2.36506850e-05	2.92997210e-07	1	true
510             	DILUPBiCGStab	7.53670330e-04	9.75035650e-06	1	5.82845360e-03	2.32341920e-05	1	false	DILUPBiCGStab	6.87904480e-04	1.18419000e-05	1	true	GAMG	4.54304580e-03	4.50122690e-05	56	true	DILUPBiCGStab	2.35789350e-05	2.92018170e-07	1	true
511             	DILUPBiCGStab	7.50078410e-04	9.70569460e-06	1	5.81576380e-03	2.31545910e-05	1	false	DILUPBiCGStab	6.84323920e-04	1.17810040e-05	1	true	GAMG	4.48353850e-03	4.34078420e-05	55	true	DILUPBiCGStab	2.35016080e-05	2.90965390e-07	1	true
512             	DILUPBiCGStab	7.46887290e-04	9.66546330e-06	1	5.80316360e-03	2.30682940e-05	1	false	DILUPBiCGStab	6.80761840e-04	1.17209080e-05	1	true	GAMG	4.43162890e-03	4.05557620e-05	48	true	DILUPBiCGStab	2.34189280e-05	2.89869320e-07	1	true
513             	DILUPBiCGStab	7.43884020e-04	9.62719100e-06	1	5.78938500e-03	2.29762160e-05	1	false	DILUPBiCGStab	6.77221190e-04	1.16612910e-05	1	true	GAMG	4.43464760e-03	4.39192520e-05	50	true	DILUPBiCGStab	2.33377410e-05	2.88786430e-07	1	true
514             	DILUPBiCGStab	7.40808530e-04	9.58804230e-06	1	5.77554190e-03	2.28928550e-05	1	false	DILUPBiCGStab	6.73702360e-04	1.16028980e-05	1	true	GAMG	4.40907570e-03	4.26644160e-05	40	true	DILUPBiCGStab	2.32590840e-05	2.87730150e-07	1	true
515             	DILUPBiCGStab	7.37440480e-04	9.54539260e-06	1	5.76344220e-03	2.28096710e-05	1	false	DILUPBiCGStab	6.70188340e-04	1.15451330e-05	1	true	GAMG	4.40693550e-03	4.25755160e-05	53	true	DILUPBiCGStab	2.31874350e-05	2.86737630e-07	1	true
516             	DILUPBiCGStab	7.34069850e-04	9.50328080e-06	1	5.75005120e-03	2.27298780e-05	1	false	DILUPBiCGStab	6.66710860e-04	1.14880090e-05	1	true	GAMG	4.39676970e-03	4.30396190e-05	66	true	DILUPBiCGStab	2.31130590e-05	2.85711660e-07	1	true
517             	DILUPBiCGStab	7.31038100e-04	9.46517420e-06	1	5.73607360e-03	2.26412630e-05	1	false	DILUPBiCGStab	6.63255690e-04	1.14313750e-05	1	true	GAMG	4.38435790e-03	4.24685960e-05	43	true	DILUPBiCGStab	2.30326400e-05	2.84638390e-07	1	true
518             	DILUPBiCGStab	7.28154880e-04	9.42819050e-06	1	5.72245280e-03	2.25499760e-05	1	false	DILUPBiCGStab	6.59806270e-04	1.13746900e-05	1	true	GAMG	4.38564800e-03	4.32639390e-05	44	true	DILUPBiCGStab	2.29535620e-05	2.83584190e-07	1	true
519             	DILUPBiCGStab	7.25169720e-04	9.39021330e-06	1	5.70814760e-03	2.24623410e-05	1	false	DILUPBiCGStab	6.56372360e-04	1.13181340e-05	1	true	GAMG	4.38803860e-03	4.28397960e-05	37	true	DILUPBiCGStab	2.28767140e-05	2.82559430e-07	1	true
520             	DILUPBiCGStab	7.22012250e-04	9.35046610e-06	1	5.69543190e-03	2.23778430e-05	1	false	DILUPBiCGStab	6.52989760e-04	1.12626050e-05	1	true	GAMG	4.36974810e-03	4.30237740e-05	54	true	DILUPBiCGStab	2.28056060e-05	2.81590070e-07	1	true
521             	DILUPBiCGStab	7.18839190e-04	9.31047510e-06	1	5.68193140e-03	2.22938780e-05	1	false	DILUPBiCGStab	6.49651850e-04	1.12077660e-05	1	true	GAMG	4.35736920e-03	4.30779190e-05	62	true	DILUPBiCGStab	2.27343640e-05	2.80612110e-07	1	true
522             	DILUPBiCGStab	7.15891210e-04	9.27349140e-06	1	5.66785090e-03	2.22124620e-05	1	false	DILUPBiCGStab	6.46319380e-04	1.11530100e-05	1	true	GAMG	4.42556710e-03	4.12071020e-05	49	true	DILUPBiCGStab	2.26587190e-05	2.79592770e-07	1	true
523             	DILUPBiCGStab	7.13087700e-04	9.23811560e-06	1	5.65376470e-03	2.21283730e-05	1	false	DILUPBiCGStab	6.42953820e-04	1.10977870e-05	1	true	GAMG	4.45698990e-03	4.28403820e-05	46	true	DILUPBiCGStab	2.25807390e-05	2.78549090e-07	1	true
524             	DILUPBiCGStab	7.10203990e-04	9.20172120e-06	1	5.64111440e-03	2.20447700e-05	1	false	DILUPBiCGStab	6.39579340e-04	1.10423980e-05	1	true	GAMG	4.46741160e-03	4.11341640e-05	46	true	DILUPBiCGStab	2.25061380e-05	2.77544720e-07	1	true
525             	DILUPBiCGStab	7.07493590e-04	9.16699930e-06	1	5.62960160e-03	2.19580190e-05	1	false	DILUPBiCGStab	6.36454540e-04	1.09913550e-05	1	true	GAMG	4.34305790e-03	4.20313010e-05	44	true	DILUPBiCGStab	2.24409700e-05	2.76638140e-07	1	true
526             	DILUPBiCGStab	7.04340060e-04	9.12765800e-06	1	5.61500770e-03	2.18752150e-05	1	false	DILUPBiCGStab	6.33181080e-04	1.09377410e-05	1	true	GAMG	4.37974470e-03	4.37414960e-05	64	true	DILUPBiCGStab	2.23752760e-05	2.75707110e-07	1	true
527             	DILUPBiCGStab	7.01340780e-04	9.08979560e-06	1	5.59783610e-03	2.17787220e-05	1	false	DILUPBiCGStab	6.29891260e-04	1.08834340e-05	1	true	GAMG	4.37325650e-03	4.34938360e-05	45	true	DILUPBiCGStab	2.23003160e-05	2.74701270e-07	1	true
528             	DILUPBiCGStab	6.98650460e-04	9.05594730e-06	1	5.58338150e-03	2.16857780e-05	1	false	DILUPBiCGStab	6.26646410e-04	1.08298440e-05	1	true	GAMG	4.32938580e-03	4.22114750e-05	47	true	DILUPBiCGStab	2.22242150e-05	2.73695460e-07	1	true
529             	DILUPBiCGStab	6.95783640e-04	9.01980610e-06	1	5.56830470e-03	2.16039750e-05	1	false	DILUPBiCGStab	6.23327840e-04	1.07749290e-05	1	true	GAMG	4.40522930e-03	4.27903540e-05	45	true	DILUPBiCGStab	2.21501890e-05	2.72725000e-07	1	true
530             	DILUPBiCGStab	6.93262120e-04	8.98718120e-06	1	5.55264290e-03	2.15092890e-05	1	false	DILUPBiCGStab	6.20384860e-04	1.07262970e-05	1	true	GAMG	4.33003350e-03	4.24707740e-05	44	true	DILUPBiCGStab	2.20893470e-05	2.71897410e-07	1	true
