# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
5021            	DILUPBiCGStab	4.53223420e-05	2.60099800e-07	1	8.80187300e-04	4.52245890e-06	1	false	DILUPBiCGStab	1.26791120e-04	1.71981810e-06	1	true	GAMG	2.20603480e-03	1.99849250e-05	6	true	DILUPBiCGStab	2.16403570e-06	4.71927910e-11	1	true
5022            	DILUPBiCGStab	4.33965430e-05	2.02869110e-07	1	6.27353670e-04	3.48764930e-06	1	false	DILUPBiCGStab	1.27002820e-04	1.72267550e-06	1	true	GAMG	1.75778620e-03	7.71422900e-06	13	true	DILUPBiCGStab	2.16423120e-06	4.72086630e-11	1	true
5023            	DILUPBiCGStab	4.29496840e-05	1.99103370e-07	1	5.77402460e-04	3.59865240e-06	1	false	DILUPBiCGStab	1.26876460e-04	1.72097580e-06	1	true	GAMG	1.80225410e-03	1.44996400e-05	9	true	DILUPBiCGStab	2.16383760e-06	4.72095250e-11	1	true
5024            	DILUPBiCGStab	4.28509620e-05	2.00345920e-07	1	5.31852390e-04	3.02666020e-06	1	false	DILUPBiCGStab	1.26869050e-04	1.72091020e-06	1	true	GAMG	1.82224710e-03	1.29850590e-05	9	true	DILUPBiCGStab	2.16367950e-06	4.71999370e-11	1	true
5025            	DILUPBiCGStab	4.29546710e-05	2.01680080e-07	1	5.34886340e-04	3.10680260e-06	1	false	DILUPBiCGStab	1.26818040e-04	1.72025790e-06	1	true	GAMG	1.59656390e-03	1.06879110e-05	7	true	DILUPBiCGStab	2.16350940e-06	4.72014520e-11	1	true
5026            	DILUPBiCGStab	4.29598470e-05	2.03902590e-07	1	5.44517900e-04	3.28961930e-06	1	false	DILUPBiCGStab	1.26814090e-04	1.72022700e-06	1	true	GAMG	1.52164960e-03	1.10028470e-05	11	true	DILUPBiCGStab	2.16351890e-06	4.71942260e-11	1	true
5027            	DILUPBiCGStab	4.52919720e-05	2.63303040e-07	1	7.72993580e-04	4.24743230e-06	1	false	DILUPBiCGStab	1.26711290e-04	1.71884400e-06	1	true	GAMG	2.35694310e-03	2.05668770e-05	10	true	DILUPBiCGStab	2.16337590e-06	4.72216260e-11	1	true
5028            	DILUPBiCGStab	4.62734440e-05	2.63984950e-07	1	9.04916170e-04	5.02864410e-06	1	false	DILUPBiCGStab	1.26647720e-04	1.71801800e-06	1	true	GAMG	2.56350790e-03	2.26889490e-05	11	true	DILUPBiCGStab	2.16320220e-06	4.72224420e-11	1	true
5029            	DILUPBiCGStab	4.56191090e-05	2.35754170e-07	1	8.77269610e-04	4.14228310e-06	1	false	DILUPBiCGStab	1.26776060e-04	1.71977010e-06	1	true	GAMG	2.51219170e-03	2.16679280e-05	7	true	DILUPBiCGStab	2.16320010e-06	4.72518720e-11	1	true
5030            	DILUPBiCGStab	4.55076190e-05	2.55951550e-07	1	1.01559880e-03	4.76651510e-06	1	false	DILUPBiCGStab	1.26668480e-04	1.71838100e-06	1	true	GAMG	2.39744130e-03	1.49841230e-05	13	true	DILUPBiCGStab	2.16253230e-06	4.72601250e-11	1	true
